
episode,reward,timesteps,successful
1,-3,2,0
2,-9,2,0
3,-20,1,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,233,4,0
8,18,2,0
9,126,5,0
10,24,2,0
11,4,2,0
12,-20,1,0
13,-20,1,0
14,15,2,0
15,237,4,0
16,158,3,0
17,-3,2,0
18,-20,1,0
19,178,3,0
20,-20,1,0
21,7,2,0
22,-20,1,0
23,-20,1,0
24,-20,1,0
25,-20,1,0
26,170,2,0
27,192,2,0
28,112,6,0
29,-20,1,0
30,-20,1,0
31,-20,1,0
32,-20,1,0
33,-20,1,0
34,-20,1,0
35,348,3,0
36,-20,1,0
37,-20,1,0
38,-11,2,0
39,10,2,0
40,160,2,0
41,20,2,0
42,-20,1,0
43,-20,1,0
44,127,2,0
45,-20,1,0
46,-20,1,0
47,-20,1,0
48,-20,1,0
49,-20,1,0
50,-20,1,0
51,87,3,0
52,-20,1,0
53,50,3,0
54,20,2,0
55,-20,1,0
56,166,2,0
57,200,3,0
58,12,2,0
59,218,4,0
60,13,2,0
61,2,2,0
62,-20,1,0
63,-20,1,0
64,13,2,0
65,-20,1,0
66,-20,1,0
67,148,2,0
68,-20,1,0
69,-20,1,0
70,361,4,0
71,-20,1,0
72,-20,1,0
73,76,3,0
74,-20,1,0
75,-20,1,0
76,-20,1,0
77,56,3,0
78,-20,1,0
79,384,5,0
80,245,4,0
81,-20,1,0
82,-20,1,0
83,-20,1,0
84,-20,1,0
85,-20,1,0
86,135,2,0
87,106,5,0
88,-20,1,0
89,58,4,0
90,26,2,0
91,-20,1,0
92,-20,1,0
93,-20,1,0
94,71,4,0
95,-20,1,0
96,138,2,0
97,42,3,0
98,45,3,0
99,-20,1,0
100,-8,2,0
101,-20,1,0
102,-20,1,0
103,20,2,0
104,59,2,0
105,-20,1,0
106,28,2,0
107,-20,1,0
108,-20,1,0
109,36,3,0
110,-1,2,0
111,-20,1,0
112,-20,1,0
113,136,2,0
114,-20,1,0
115,153,2,0
116,-20,1,0
117,440,6,0
118,0,2,0
119,-20,1,0
120,-20,1,0
121,-20,1,0
122,19,3,0
123,-20,1,0
124,132,5,0
125,-20,1,0
126,-20,1,0
127,1,2,0
128,-20,1,0
129,-20,1,0
130,-20,1,0
131,166,3,0
132,17,2,0
133,-20,1,0
134,-20,1,0
135,175,3,0
136,263,9,0
137,-20,1,0
138,-20,1,0
139,-20,1,0
140,-20,1,0
141,-20,1,0
142,-20,1,0
143,-20,1,0
144,379,8,0
145,147,3,0
146,261,5,0
147,-20,1,0
148,33,2,0
149,220,3,0
150,157,2,0
151,-20,1,0
152,-20,1,0
153,147,2,0
154,-20,1,0
155,-4,3,0
156,-20,1,0
157,-20,1,0
158,-20,1,0
159,20,2,0
160,-20,1,0
161,270,6,0
162,-20,1,0
163,13,2,0
164,410,5,0
165,23,2,0
166,-20,1,0
167,71,3,0
168,-20,1,0
169,-20,1,0
170,190,3,0
171,35,3,0
172,-20,1,0
173,35,2,0
174,25,2,0
175,41,3,0
176,269,5,0
177,155,2,0
178,-20,1,0
179,-20,1,0
180,141,2,0
181,481,9,0
182,-20,1,0
183,34,2,0
184,-20,1,0
185,-20,1,0
186,-20,1,0
187,-20,1,0
188,-20,1,0
189,-20,1,0
190,251,3,0
191,23,2,0
192,26,2,0
193,23,2,0
194,19,2,0
195,276,5,0
196,15,2,0
197,-20,1,0
198,-20,1,0
199,-20,1,0
200,138,2,0
201,-20,1,0
202,31,3,0
203,-20,1,0
204,3,2,0
205,51,3,0
206,44,3,0
207,-20,1,0
208,22,4,0
209,-20,1,0
210,-20,1,0
211,176,3,0
212,-20,1,0
213,162,3,0
214,8,2,0
215,22,2,0
216,14,2,0
217,-20,1,0
218,708,7,0
219,-20,1,0
220,-20,1,0
221,-20,1,0
222,-20,1,0
223,-20,1,0
224,43,2,0
225,97,4,0
226,4,2,0
227,-8,2,0
228,-20,1,0
229,488,7,0
230,150,4,0
231,-20,1,0
232,-20,1,0
233,-20,1,0
234,-20,1,0
235,198,3,0
236,-20,1,0
237,-20,1,0
238,63,3,0
239,25,2,0
240,-20,1,0
241,27,2,0
242,-20,1,0
243,-20,1,0
244,56,2,0
245,-20,1,0
246,201,3,0
247,-20,1,0
248,24,2,0
249,-20,1,0
250,-20,1,0
251,-20,1,0
252,177,3,0
253,9,2,0
254,-20,1,0
255,284,5,0
256,-20,1,0
257,-20,1,0
258,-20,1,0
259,194,3,0
260,-20,1,0
261,176,2,0
262,196,5,0
263,-20,1,0
264,-20,1,0
265,44,3,0
266,28,2,0
267,-20,1,0
268,63,2,0
269,-20,1,0
270,-20,1,0
271,-20,1,0
272,-20,1,0
273,-20,1,0
274,-20,1,0
275,-20,1,0
276,32,2,0
277,177,3,0
278,157,2,0
279,-20,1,0
280,-20,1,0
281,19,2,0
282,-20,1,0
283,20,2,0
284,-20,1,0
285,-20,1,0
286,-20,1,0
287,-20,1,0
288,-20,1,0
289,-20,1,0
290,-20,1,0
291,-20,1,0
292,68,4,0
293,19,2,0
294,-20,1,0
295,214,5,0
296,-20,1,0
297,181,3,0
298,-20,1,0
299,81,4,0
300,-20,1,0
301,-20,1,0
302,-8,2,0
303,-20,1,0
304,-20,1,0
305,-20,1,0
306,146,2,0
307,26,3,0
308,-20,1,0
309,-20,1,0
310,-20,1,0
311,132,2,0
312,-20,1,0
313,-20,1,0
314,-20,1,0
315,13,2,0
316,-20,1,0
317,-20,1,0
318,-20,1,0
319,-20,1,0
320,-6,2,0
321,5,2,0
322,-20,1,0
323,-20,1,0
324,17,2,0
325,67,4,0
326,167,3,0
327,-20,1,0
328,-20,1,0
329,37,2,0
330,191,2,0
331,109,3,0
332,-20,1,0
333,128,2,0
334,-20,1,0
335,40,2,0
336,6,2,0
337,-20,1,0
338,247,4,0
339,-20,1,0
340,-20,1,0
341,337,3,0
342,-20,1,0
343,-20,1,0
344,21,2,0
345,46,3,0
346,-20,1,0
347,-20,1,0
348,82,3,0
349,2,2,0
350,-20,1,0
351,-5,2,0
352,32,4,0
353,-20,1,0
354,3,2,0
355,-20,1,0
356,-20,1,0
357,11,2,0
358,157,5,0
359,-20,1,0
360,-20,1,0
361,-20,1,0
362,-20,1,0
